TABLE NO.  1
 NMROW       TVKA        TVV2        TVV3        TVCL        KA          V2          V3          CL          Q           IPRED       Y           DV          PRED        RES         WRES
  1.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  4.7459E+00  4.0464E+00  0.0000E+00  2.8907E+00  0.0000E+00  0.0000E+00
  4.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  3.4632E+00  7.1113E-01  0.0000E+00  2.4982E+00  0.0000E+00  0.0000E+00
  5.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.2364E+00  3.9159E+00  0.0000E+00  1.9258E+00  0.0000E+00  0.0000E+00
  6.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.4558E+00  1.4027E+00  0.0000E+00  1.4754E+00  0.0000E+00  0.0000E+00
  7.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  9.8575E-01  8.0689E-01  0.0000E+00  1.1424E+00  0.0000E+00  0.0000E+00
  8.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  7.0414E-01  8.1760E-01  0.0000E+00  8.9808E-01  0.0000E+00  0.0000E+00
  9.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  5.3433E-01  5.4752E-01  0.0000E+00  7.1850E-01  0.0000E+00  0.0000E+00
  1.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  4.3057E-01  5.7238E-01  0.0000E+00  5.8604E-01  0.0000E+00  0.0000E+00
  1.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  3.6585E-01  5.0466E-01  0.0000E+00  4.8784E-01  0.0000E+00  0.0000E+00
  1.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  3.2425E-01  4.3377E-01  0.0000E+00  4.1458E-01  0.0000E+00  0.0000E+00
  1.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.9637E-01  3.4603E-01  0.0000E+00  3.5947E-01  0.0000E+00  0.0000E+00
  1.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.7668E-01  1.7129E-01  0.0000E+00  3.1761E-01  0.0000E+00  0.0000E+00
  1.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.6192E-01  3.1160E-01  0.0000E+00  2.8541E-01  0.0000E+00  0.0000E+00
  1.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.5017E-01  2.2516E-01  0.0000E+00  2.6028E-01  0.0000E+00  0.0000E+00
  1.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.4027E-01  2.5375E-01  0.0000E+00  2.4034E-01  0.0000E+00  0.0000E+00
  1.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.3157E-01  3.0203E-01  0.0000E+00  2.2423E-01  0.0000E+00  0.0000E+00
  1.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.2366E-01  1.7722E-01  0.0000E+00  2.1094E-01  0.0000E+00  0.0000E+00
  2.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.1629E-01  2.1358E-01  0.0000E+00  1.9975E-01  0.0000E+00  0.0000E+00
  2.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.0934E-01  2.3397E-01  0.0000E+00  1.9013E-01  0.0000E+00  0.0000E+00
  2.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.0271E-01  1.6296E-01  0.0000E+00  1.8171E-01  0.0000E+00  0.0000E+00
  2.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.9634E-01  2.3621E-01  0.0000E+00  1.7419E-01  0.0000E+00  0.0000E+00
  2.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.9021E-01  2.0795E-01  0.0000E+00  1.6739E-01  0.0000E+00  0.0000E+00
  2.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8429E-01  1.8490E-01  0.0000E+00  1.6113E-01  0.0000E+00  0.0000E+00
  2.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.7857E-01  2.6447E-01  0.0000E+00  1.5532E-01  0.0000E+00  0.0000E+00
  2.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.7857E-01  2.0075E-01  0.0000E+00  1.5532E-01  0.0000E+00  0.0000E+00
  2.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.5460E+00  1.9699E+00  0.0000E+00  1.5952E+00  0.0000E+00  0.0000E+00
  2.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8993E+00  1.5811E+00  0.0000E+00  1.3938E+00  0.0000E+00  0.0000E+00
  3.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.2807E+00  1.2977E+00  0.0000E+00  1.1028E+00  0.0000E+00  0.0000E+00
  3.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  8.8535E-01  6.6803E-01  0.0000E+00  8.7289E-01  0.0000E+00  0.0000E+00
  3.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  6.4544E-01  5.7122E-01  0.0000E+00  7.0194E-01  0.0000E+00  0.0000E+00
  3.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  4.9991E-01  4.8317E-01  0.0000E+00  5.7549E-01  0.0000E+00  0.0000E+00
  3.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  4.1043E-01  4.0530E-01  0.0000E+00  4.8158E-01  0.0000E+00  0.0000E+00
  3.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  3.5411E-01  3.1736E-01  0.0000E+00  4.1138E-01  0.0000E+00  0.0000E+00
  3.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  3.1746E-01  4.3451E-01  0.0000E+00  3.5846E-01  0.0000E+00  0.0000E+00
  3.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.9249E-01  2.9447E-01  0.0000E+00  3.1813E-01  0.0000E+00  0.0000E+00
  3.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.7452E-01  2.2416E-01  0.0000E+00  2.8701E-01  0.0000E+00  0.0000E+00
  3.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.6076E-01  1.3778E-01  0.0000E+00  2.6263E-01  0.0000E+00  0.0000E+00
  4.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.4960E-01  2.4195E-01  0.0000E+00  2.4319E-01  0.0000E+00  0.0000E+00
  4.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.4004E-01  3.1500E-01  0.0000E+00  2.2740E-01  0.0000E+00  0.0000E+00
  4.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.3154E-01  1.3222E-01  0.0000E+00  2.1431E-01  0.0000E+00  0.0000E+00
  4.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.2374E-01  4.9069E-02  0.0000E+00  2.0323E-01  0.0000E+00  0.0000E+00
  4.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.1644E-01  2.6943E-01  0.0000E+00  1.9367E-01  0.0000E+00  0.0000E+00
  4.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.0952E-01  6.6590E-02  0.0000E+00  1.8525E-01  0.0000E+00  0.0000E+00
  4.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.0290E-01  2.0238E-01  0.0000E+00  1.7770E-01  0.0000E+00  0.0000E+00
  4.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.9655E-01  2.1551E-01  0.0000E+00  1.7084E-01  0.0000E+00  0.0000E+00
  4.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.9042E-01  2.5074E-01  0.0000E+00  1.6452E-01  0.0000E+00  0.0000E+00
  4.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8450E-01  2.6250E-01  0.0000E+00  1.5864E-01  0.0000E+00  0.0000E+00
  5.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.7877E-01  1.3400E-01  0.0000E+00  1.5311E-01  0.0000E+00  0.0000E+00
  5.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.7323E-01  1.0334E-01  0.0000E+00  1.4788E-01  0.0000E+00  0.0000E+00
  5.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.5408E+00  2.9492E+00  0.0000E+00  1.5882E+00  0.0000E+00  0.0000E+00
  5.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8943E+00  2.0049E+00  0.0000E+00  1.3873E+00  0.0000E+00  0.0000E+00
  5.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.2758E+00  1.3863E+00  0.0000E+00  1.0965E+00  0.0000E+00  0.0000E+00
  5.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  8.8065E-01  7.3347E-01  0.0000E+00  8.6694E-01  0.0000E+00  0.0000E+00
  5.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  6.4089E-01  8.5325E-01  0.0000E+00  6.9625E-01  0.0000E+00  0.0000E+00
  5.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  4.9550E-01  3.4137E-01  0.0000E+00  5.7002E-01  0.0000E+00  0.0000E+00
  5.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  4.0616E-01  5.5168E-01  0.0000E+00  4.7632E-01  0.0000E+00  0.0000E+00
  5.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  3.4997E-01  2.6223E-01  0.0000E+00  4.0632E-01  0.0000E+00  0.0000E+00
  6.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  3.1344E-01  3.0074E-01  0.0000E+00  3.5357E-01  0.0000E+00  0.0000E+00
  6.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.8860E-01  2.4572E-01  0.0000E+00  3.1342E-01  0.0000E+00  0.0000E+00
  6.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.7075E-01  4.2992E-01  0.0000E+00  2.8246E-01  0.0000E+00  0.0000E+00
  6.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.5711E-01  2.1966E-01  0.0000E+00  2.5823E-01  0.0000E+00  0.0000E+00
  6.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.4606E-01  2.8137E-01  0.0000E+00  2.3894E-01  0.0000E+00  0.0000E+00
  6.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.3662E-01  2.3967E-01  0.0000E+00  2.2329E-01  0.0000E+00  0.0000E+00
  6.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.2822E-01  1.9127E-01  0.0000E+00  2.1033E-01  0.0000E+00  0.0000E+00
  6.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.2052E-01  1.5589E-01  0.0000E+00  1.9938E-01  0.0000E+00  0.0000E+00
  6.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.1332E-01  1.2366E-01  0.0000E+00  1.8994E-01  0.0000E+00  0.0000E+00
  6.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  2.0650E-01  1.8379E-01  0.0000E+00  1.8164E-01  0.0000E+00  0.0000E+00
  7.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.9997E-01  7.4087E-02  0.0000E+00  1.7421E-01  0.0000E+00  0.0000E+00
  7.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.9371E-01  1.7988E-01  0.0000E+00  1.6746E-01  0.0000E+00  0.0000E+00
  7.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8767E-01  2.1807E-01  0.0000E+00  1.6125E-01  0.0000E+00  0.0000E+00
  7.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.8183E-01  1.9426E-01  0.0000E+00  1.5547E-01  0.0000E+00  0.0000E+00
  7.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.7619E-01  1.9449E-01  0.0000E+00  1.5005E-01  0.0000E+00  0.0000E+00
  7.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0457E+01  1.5006E+02  1.1899E+01  8.4865E+00  1.7072E-01  1.1251E-01  0.0000E+00  1.4492E-01  0.0000E+00  0.0000E+00
