TABLE NO.  1
 NMROW       TVKA        TVV2        TVV3        TVCL        KA          V2          V3          CL          Q           IPRED       Y           DV          PRED        RES         WRES
  1.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  4.0632E+00  3.0345E+00  0.0000E+00  2.8907E+00  0.0000E+00  0.0000E+00
  4.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  2.4221E+00  2.8882E+00  0.0000E+00  2.4982E+00  0.0000E+00  0.0000E+00
  5.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  1.2544E+00  9.9532E-01  0.0000E+00  1.9258E+00  0.0000E+00  0.0000E+00
  6.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  6.6368E-01  9.5895E-01  0.0000E+00  1.4754E+00  0.0000E+00  0.0000E+00
  7.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  3.8151E-01  2.9391E-01  0.0000E+00  1.1424E+00  0.0000E+00  0.0000E+00
  8.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  2.4721E-01  2.3175E-01  0.0000E+00  8.9808E-01  0.0000E+00  0.0000E+00
  9.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  1.8213E-01  1.8792E-01  0.0000E+00  7.1850E-01  0.0000E+00  0.0000E+00
  1.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  1.4930E-01  1.8162E-01  0.0000E+00  5.8604E-01  0.0000E+00  0.0000E+00
  1.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  1.3154E-01  1.5656E-01  0.0000E+00  4.8784E-01  0.0000E+00  0.0000E+00
  1.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  1.2087E-01  1.2444E-01  0.0000E+00  4.1458E-01  0.0000E+00  0.0000E+00
  1.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  1.1358E-01  1.0278E-01  0.0000E+00  3.5947E-01  0.0000E+00  0.0000E+00
  1.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  1.0795E-01  7.9955E-02  0.0000E+00  3.1761E-01  0.0000E+00  0.0000E+00
  1.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  1.0317E-01  8.3643E-02  0.0000E+00  2.8541E-01  0.0000E+00  0.0000E+00
  1.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  9.8883E-02  9.1254E-02  0.0000E+00  2.6028E-01  0.0000E+00  0.0000E+00
  1.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  9.4896E-02  1.1240E-01  0.0000E+00  2.4034E-01  0.0000E+00  0.0000E+00
  1.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  9.1129E-02  6.1120E-02  0.0000E+00  2.2423E-01  0.0000E+00  0.0000E+00
  1.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  8.7539E-02  6.8949E-02  0.0000E+00  2.1094E-01  0.0000E+00  0.0000E+00
  2.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  4.0487E+01  1.5006E+02  2.1958E+01  8.4865E+00  8.4102E-02  9.6953E-02  0.0000E+00  1.9975E-01  0.0000E+00  0.0000E+00
